#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"AJRouter","AllJoyn Router Service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"ALG","Application Layer Gateway Service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AppHostSvc","Application Host Helper Service","Running","Automatic","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AppIDSvc","Application Identity","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"Appinfo","Application Information","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AppMgmt","Application Management","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AppReadiness","App Readiness","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"aspnet_state","ASP.NET State Service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"Audiosrv","Windows Audio","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"BFE","Base Filtering Engine","Running","Automatic","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"BthAvctpSvc","AVCTP service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"bthserv","Bluetooth Support Service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"camsvc","Capability Access Manager Service","Stopped","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"CDPSvc","Connected Devices Platform Service","Running","Automatic","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
"CertPropSvc","Certificate Propagation","Running","Manual","FS17678","1a182f34-d4d8-4ca4-bc4e-95a9cd10aa2b","True"
