#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"EventLog","Windows Event Log","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"EventSystem","COM+ Event System","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"FontCache","Windows Font Cache Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"gpsvc","Group Policy Client","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"hidserv","Human Interface Device Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"HvHost","HV Host Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"IISADMIN","IIS Admin Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"InstallService","Microsoft Store Install Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"iphlpsvc","IP Helper","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"KeyIso","CNG Key Isolation","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"KPSSVC","KDC Proxy Server service (KPS)","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"LanmanServer","Server","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"LanmanWorkstation","Workstation","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"lfsvc","Geolocation Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"LicenseManager","Windows License Manager Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"LSM","Local Session Manager","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"mpssvc","Windows Defender Firewall","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"MSDTC","Distributed Transaction Coordinator","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"MSiSCSI","Microsoft iSCSI Initiator Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"msiserver","Windows Installer","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"MSSQL$MICROSOFT##WID","Windows Internal Database","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"NcbService","Network Connection Broker","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Netlogon","Netlogon","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Netman","Network Connections","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"netprofm","Network List Service","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"NetSetupSvc","Network Setup Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"NgcSvc","Microsoft Passport","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"NlaSvc","Network Location Awareness","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"nsi","Network Store Interface Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"PcaSvc","Program Compatibility Assistant Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"PhoneSvc","Phone Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"pla","Performance Logs & Alerts","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"PlugPlay","Plug and Play","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"PolicyAgent","IPsec Policy Agent","Running","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Power","Power","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"ProfSvc","User Profile Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RasMan","Remote Access Connection Manager","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RemoteRegistry","Remote Registry","Stopped","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RmSvc","Radio Management Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"RSoPProv","Resultant Set of Policy Provider","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"sacsvr","Special Administration Console Helper","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SamSs","Security Accounts Manager","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SCardSvr","Smart Card","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"Schedule","Task Scheduler","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"seclogon","Secondary Logon","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SecurityHealthService","Windows Security Service","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
"SENS","System Event Notification Service","Running","Automatic","FS217678","ab4bff13-76d0-4b18-8fa6-0b1be6d8d365","True"
