#TYPE Deserialized.Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","PSComputerName","RunspaceId","PSShowComputerName"
"EFS","Encrypting File System (EFS)","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"embeddedmode","Embedded Mode","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"EventLog","Windows Event Log","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"EventSystem","COM+ Event System","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"Fax","Fax","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"fhsvc","File History Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"FontCache","Windows Font Cache Service","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"gpsvc","Group Policy Client","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"hidserv","Human Interface Device Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"HvHost","HV Host Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"InstallService","Microsoft Store Install Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"iphlpsvc","IP Helper","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"KeyIso","CNG Key Isolation","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"LanmanServer","Server","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"LanmanWorkstation","Workstation","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"lfsvc","Geolocation Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"LicenseManager","Windows License Manager Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"LSM","Local Session Manager","Running","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"LxpSvc","Language Experience Service","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","W1017678","306725b9-41f9-4466-874c-98b8acabdada","True"
